caption,verbs,nouns,adjectives,sub
"A child swinging, swaying, and oscillating on a playground swing set.","{swinging, swaying, oscillating}","{child, swing, set}",{playground},{child}
"Two dogs chasing, pursuing, and running after a frisbee in a grassy field.","{chasing, pursuing, running}","{dogs, frisbee, field}",{grassy},{dogs}
"A chef chopping, dicing, and slicing vegetables on a wooden cutting board.","{chopping, dicing, slicing}","{chef, vegetables, board}",{wooden},{chef}
"A gymnast flipping, somersaulting, and rotating through the air during a performance.","{flipping, somersaulting, rotating}","{gymnast, air, performance}",{},{gymnast}
"A painter brushing, stroking, and applying vibrant colors onto a large canvas.","{brushing, stroking, applying}","{painter, colors, canvas}","{vibrant, large}",{painter}
"A surfer riding, gliding, and maneuvering on a massive ocean wave.","{riding, gliding, maneuvering}","{surfer, wave}","{massive, ocean}",{surfer}
"Firefighters extinguishing, dousing, and quenching flames in a burning building.","{extinguishing, dousing, quenching}","{firefighters, flames, building}",{burning},{firefighters}
"A cat pouncing, leaping, and jumping at a dangling toy mouse.","{pouncing, leaping, jumping}","{cat, toy, mouse}",{dangling},{cat}
"Musicians performing, playing, and strumming guitars on a dimly lit stage.","{performing, playing, strumming}","{musicians, guitars, stage}",{dimly lit},{musicians}
"A ballerina twirling, spinning, and pirouetting gracefully during a recital.","{twirling, spinning, pirouetting}","{ballerina, recital}",{gracefully},{ballerina}
"Children sliding, gliding, and descending down a colorful playground slide.","{sliding, gliding, descending}","{children, slide}","{colorful, playground}",{children}
"A magician conjuring, producing, and revealing a rabbit from a hat.","{conjuring, producing, revealing}","{magician, rabbit, hat}",{},{magician}
"Skateboarders grinding, sliding, and scraping along a metal rail in a skate park.","{grinding, sliding, scraping}","{skateboarders, rail, park}","{metal, skate}",{skateboarders}
"A tailor sewing, stitching, and mending a torn garment.","{sewing, stitching, mending}","{tailor, garment}",{torn},{tailor}
"Bakers kneading, folding, and shaping dough for fresh bread.","{kneading, folding, shaping}","{bakers, dough, bread}",{fresh},{bakers}
"A gardener planting, sowing, and burying seeds in rich soil.","{planting, sowing, burying}","{gardener, seeds, soil}",{rich},{gardener}
"Tourists photographing, capturing, and snapping pictures of a historic monument.","{photographing, capturing, snapping}","{tourists, pictures, monument}",{historic},{tourists}
"A carpenter sawing, cutting, and slicing through a thick wooden beam.","{sawing, cutting, slicing}","{carpenter, beam}","{thick, wooden}",{carpenter}
"Athletes sprinting, dashing, and racing towards the finish line on a track.","{sprinting, dashing, racing}","{athletes, line, track}",{finish},{athletes}
"A potter molding, shaping, and forming clay on a spinning wheel.","{molding, shaping, forming}","{potter, clay, wheel}",{spinning},{potter}
"Dancers swaying, moving, and grooving to the rhythm of music at a party.","{swaying, moving, grooving}","{dancers, rhythm, music, party}",{},{dancers}
"A juggler tossing, catching, and manipulating colorful balls in the air.","{tossing, catching, manipulating}","{juggler, balls, air}",{colorful},{juggler}
"Scientists examining, studying, and analyzing specimens under a microscope.","{examining, studying, analyzing}","{scientists, specimens, microscope}",{},{scientists}
"A climber ascending, scaling, and conquering a steep rocky cliff.","{ascending, scaling, conquering}","{climber, cliff}","{steep, rocky}",{climber}
"Children building, constructing, and assembling a towering sandcastle on the beach.","{building, constructing, assembling}","{children, sandcastle, beach}",{towering},{children}
"A barista brewing, preparing, and crafting a latte with intricate foam art.","{brewing, preparing, crafting}","{barista, latte, art}","{intricate, foam}",{barista}
"Swimmers diving, plunging, and submerging into a crystal-clear pool.","{diving, plunging, submerging}","{swimmers, pool}",{crystal-clear},{swimmers}
"A mechanic repairing, fixing, and tuning up a vintage car engine.","{repairing, fixing, tuning}","{mechanic, car, engine}",{vintage},{mechanic}
"Beekeepers harvesting, collecting, and extracting honey from buzzing hives.","{harvesting, collecting, extracting}","{beekeepers, honey, hives}",{buzzing},{beekeepers}
"A conductor directing, guiding, and leading an orchestra during a symphony.","{directing, guiding, leading}","{conductor, orchestra, symphony}",{},{conductor}
"Actors rehearsing, practicing, and performing a dramatic scene on stage.","{rehearsing, practicing, performing}","{actors, scene, stage}",{dramatic},{actors}
"A sculptor carving, chiseling, and shaping a block of marble into a statue.","{carving, chiseling, shaping}","{sculptor, block, marble, statue}",{},{sculptor}
"Firefighters rescuing, saving, and evacuating people from a smoke-filled building.","{rescuing, saving, evacuating}","{firefighters, people, building}",{smoke-filled},{firefighters}
"A teacher instructing, explaining, and demonstrating a math problem to students.","{instructing, explaining, demonstrating}","{teacher, problem, students}",{math},{teacher}
"Chefs plating, arranging, and garnishing a gourmet dish in a restaurant kitchen.","{plating, arranging, garnishing}","{chefs, dish, kitchen}","{gourmet, restaurant}",{chefs}
"A photographer focusing, framing, and capturing a breathtaking landscape.","{focusing, framing, capturing}","{photographer, landscape}",{breathtaking},{photographer}
"Fans cheering, applauding, and celebrating as their team scores a goal.","{cheering, applauding, celebrating}","{fans, team, goal}",{},{fans}
"A pilot maneuvering, steering, and landing a plane on a runway.","{maneuvering, steering, landing}","{pilot, plane, runway}",{},{pilot}
"Divers exploring, investigating, and discovering a colorful coral reef.","{exploring, investigating, discovering}","{divers, reef}","{colorful, coral}",{divers}
"A librarian organizing, shelving, and cataloging books in a quiet library.","{organizing, shelving, cataloging}","{librarian, books, library}",{quiet},{librarian}
"Scientists launching, propelling, and sending a rocket into space.","{launching, propelling, sending}","{scientists, rocket, space}",{},{scientists}
"Dancers leaping, bounding, and soaring across a brightly lit stage.","{leaping, bounding, soaring}","{dancers, stage}",{brightly lit},{dancers}
"A farmer harvesting, gathering, and collecting ripe crops in a field.","{harvesting, gathering, collecting}","{farmer, crops, field}",{ripe},{farmer}
"Students experimenting, testing, and conducting a chemistry lab.","{experimenting, testing, conducting}","{students, lab}",{chemistry},{students}
"A hairstylist cutting, trimming, and styling a client's hair in a salon.","{cutting, trimming, styling}","{hairstylist, hair, client, salon}",{},{hairstylist}
"Acrobats balancing, teetering, and maintaining equilibrium on a high wire.","{balancing, teetering, maintaining}","{acrobats, wire}",{high},{acrobats}
"A gardener pruning, trimming, and shaping topiary bushes into animal forms.","{pruning, trimming, shaping}","{gardener, bushes, forms}","{topiary, animal}",{gardener}
"Chefs grilling, searing, and barbecuing meat on an outdoor grill.","{grilling, searing, barbecuing}","{chefs, meat, grill}",{outdoor},{chefs}
"A mime performing, gesturing, and acting out a scene without words.","{performing, gesturing, acting}","{mime, scene}",{},{mime}
"Athletes weightlifting, hoisting, and lifting heavy barbells in a gym.","{weightlifting, hoisting, lifting}","{athletes, barbells, gym}",{heavy},{athletes}
"A violinist bowing, playing, and performing a classical piece in a concert hall.","{bowing, playing, performing}","{violinist, piece, hall}","{classical, concert}",{violinist}
"Firefighters climbing, ascending, and scaling a ladder to reach a burning building.","{climbing, ascending, scaling}","{firefighters, ladder, building}",{burning},{firefighters}
"A baker frosting, decorating, and embellishing a wedding cake with intricate designs.","{frosting, decorating, embellishing}","{baker, cake, designs}","{wedding, intricate}",{baker}
"Surfers paddling, propelling, and navigating through choppy waves.","{paddling, propelling, navigating}","{surfers, waves}",{choppy},{surfers}
"A magician levitating, floating, and suspending an assistant in mid-air.","{levitating, floating, suspending}","{magician, assistant}",{mid-air},{magician}
"Children fingerpainting, smearing, and spreading vibrant colors on large paper sheets.","{fingerpainting, smearing, spreading}","{children, colors, sheets}","{vibrant, large}",{children}
"A conductor waving, gesturing, and directing an orchestra during a performance.","{waving, gesturing, directing}","{conductor, orchestra, performance}",{},{conductor}
"Acrobats tumbling, flipping, and somersaulting across a circus ring.","{tumbling, flipping, somersaulting}","{acrobats, ring}",{circus},{acrobats}
"A chef whisking, beating, and whipping cream for a dessert.","{whisking, beating, whipping}","{chef, cream, dessert}",{},{chef}
"Dancers twirling, spinning, and rotating in perfect synchronization.","{twirling, spinning, rotating}",{dancers},{perfect},{dancers}
"A sculptor chiseling, carving, and shaping a block of stone into a statue.","{chiseling, carving, shaping}","{sculptor, block, stone, statue}",{},{sculptor}
"Athletes hurdling, leaping, and jumping over obstacles on a track.","{hurdling, leaping, jumping}","{athletes, obstacles, track}",{},{athletes}
"A weaver threading, intertwining, and creating intricate patterns on a loom.","{threading, intertwining, creating}","{weaver, patterns, loom}",{intricate},{weaver}
