Caption,Visual Attributes
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.","{'black', 'shiny', 'lush', 'red', 'bright'}"
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.","{'natural', 'snowy', 'historic', 'sleek', 'vibrant'}"
"A painter captures a serene, snowy scene of nature on canvas.","{'serene', 'snowy'}"
"A small, ancient, red sunset paints the horizon with vibrant colors.","{'small', 'ancient', 'red'}"
"A painter captures a natural, red, grand, majestic, tall scene of nature on canvas.","{'natural', 'red', 'grand', 'majestic', 'tall'}"
"An old wooden bridge stands over a natural, artistic and tranquil stream.","{'natural', 'artistic'}"
"A cluster of colorful, dynamic houses sits atop a steep cliff by the ocean.","{'colorful', 'dynamic'}"
"Busy, dynamic, mountain wildflowers bloom in a meadow under a bright sky.","{'busy', 'dynamic', 'mountain'}"
"Modern, colorful architecture marks the skyline of a bustling city.","{'modern', 'colorful'}"
"A green, beautiful sunset paints the horizon with vibrant colors.","{'green', 'beautiful'}"
"Shiny, black, serene, busy, ancient architecture marks the skyline of a bustling city.","{'shiny', 'black', 'serene', 'busy', 'ancient'}"
"Tall, small, vivid hills are visible in the distance beyond a winding river.","{'tall', 'small', 'vivid'}"
"Cozy, wild, serene, vibrant, soft birds flutter above a serene and glistening pond.","{'cozy', 'wild', 'serene', 'vibrant', 'soft'}"
"Calm, grand, beautiful wildflowers bloom in a meadow under a bright sky.","{'calm', 'grand', 'beautiful'}"
"Playful, green, majestic, bright, dynamic architecture marks the skyline of a bustling city.","{'playful', 'green', 'majestic', 'bright', 'dynamic'}"
"Sleek, green, soft, busy trees sway gently in the cool autumn breeze.","{'sleek', 'green', 'soft', 'busy'}"
"Red, delicate landscapes stretch endlessly under a golden sun.","{'red', 'delicate'}"
"Rugged, soft wildflowers bloom in a meadow under a bright sky.","{'rugged', 'soft'}"
"Busy, ancient, artistic, playful landscapes stretch endlessly under a golden sun.","{'busy', 'ancient', 'artistic', 'playful'}"
"A painter captures a rustic, historic, serene, blue, shiny scene of nature on canvas.","{'rustic', 'historic', 'serene', 'blue', 'shiny'}"
"Beautiful, tall, calm, red trees sway gently in the cool autumn breeze.","{'beautiful', 'tall', 'calm', 'red'}"
"Natural, red, rugged landscapes stretch endlessly under a golden sun.","{'natural', 'red', 'rugged'}"
"An old wooden bridge stands over a spotted, rustic, snowy and tranquil stream.","{'spotted', 'rustic', 'snowy'}"
"A cluster of rugged, white, green houses sits atop a steep cliff by the ocean.","{'rugged', 'white', 'green'}"
"Golden, cozy, white, mountain hills are visible in the distance beyond a winding river.","{'golden', 'cozy', 'white', 'mountain'}"
"Sleek, ancient, rugged architecture marks the skyline of a bustling city.","{'sleek', 'ancient', 'rugged'}"
"Lush, grand, shiny trees sway gently in the cool autumn breeze.","{'lush', 'grand', 'shiny'}"
"Mountain, colorful trees sway gently in the cool autumn breeze.","{'mountain', 'colorful'}"
"Modern, golden wildflowers bloom in a meadow under a bright sky.","{'modern', 'golden'}"
"A cluster of busy, sleek, soft, historic houses sits atop a steep cliff by the ocean.","{'busy', 'sleek', 'soft', 'historic'}"
"A cluster of soft, playful, cozy houses sits atop a steep cliff by the ocean.","{'soft', 'playful', 'cozy'}"
"Bright, wild, delicate architecture marks the skyline of a bustling city.","{'bright', 'wild', 'delicate'}"
"A painter captures a snowy, sleek, small, black scene of nature on canvas.","{'snowy', 'sleek', 'small', 'black'}"
"Green, rugged wildflowers bloom in a meadow under a bright sky.","{'green', 'rugged'}"
"Bold, playful, cozy, grand hills are visible in the distance beyond a winding river.","{'bold', 'playful', 'cozy', 'grand'}"
"Sleek, majestic, bright landscapes stretch endlessly under a golden sun.","{'sleek', 'majestic', 'bright'}"
"Golden, playful wildflowers bloom in a meadow under a bright sky.","{'golden', 'playful'}"
"Cozy, wooden, vibrant, calm, rustic trees sway gently in the cool autumn breeze.","{'cozy', 'wooden', 'vibrant', 'calm', 'rustic'}"
"Rugged, rustic landscapes stretch endlessly under a golden sun.","{'rugged', 'rustic'}"
"Wild, white, vivid, snowy, bright trees sway gently in the cool autumn breeze.","{'wild', 'white', 'vivid', 'snowy', 'bright'}"
"A cluster of grand, wild, vibrant houses sits atop a steep cliff by the ocean.","{'grand', 'wild', 'vibrant'}"
"Blue, calm, shiny, red, rugged wildflowers bloom in a meadow under a bright sky.","{'blue', 'calm', 'shiny', 'red', 'rugged'}"
"A small, colorful, dynamic, calm sunset paints the horizon with vibrant colors.","{'small', 'colorful', 'dynamic', 'calm'}"
"A white, vivid, colorful, lush, dynamic sunset paints the horizon with vibrant colors.","{'white', 'vivid', 'colorful', 'lush', 'dynamic'}"
"Serene, black, golden birds flutter above a serene and glistening pond.","{'serene', 'black', 'golden'}"
"Shiny, rustic, spotted, snowy, ancient landscapes stretch endlessly under a golden sun.","{'shiny', 'rustic', 'spotted', 'snowy', 'ancient'}"
"Delicate, grand, rugged landscapes stretch endlessly under a golden sun.","{'delicate', 'grand', 'rugged'}"
"An old wooden bridge stands over a wooden, sleek and tranquil stream.","{'wooden', 'sleek'}"
"Ancient, artistic, soft, cozy architecture marks the skyline of a bustling city.","{'ancient', 'artistic', 'soft', 'cozy'}"
"A cluster of rugged, modern houses sits atop a steep cliff by the ocean.","{'rugged', 'modern'}"
"Vibrant, historic, white, shiny hills are visible in the distance beyond a winding river.","{'vibrant', 'historic', 'white', 'shiny'}"
"Beautiful, natural, vivid architecture marks the skyline of a bustling city.","{'beautiful', 'natural', 'vivid'}"
"A painter captures a spotted, rugged, serene, green, beautiful scene of nature on canvas.","{'spotted', 'rugged', 'serene', 'green', 'beautiful'}"
"A ancient, rugged, beautiful, mountain, snowy sunset paints the horizon with vibrant colors.","{'ancient', 'rugged', 'beautiful', 'mountain', 'snowy'}"
"Black, blue, delicate hills are visible in the distance beyond a winding river.","{'black', 'blue', 'delicate'}"
"Golden, rugged, modern, ancient, cozy architecture marks the skyline of a bustling city.","{'golden', 'rugged', 'modern', 'ancient', 'cozy'}"
"A dynamic, busy, green, beautiful, rugged sunset paints the horizon with vibrant colors.","{'dynamic', 'busy', 'green', 'beautiful', 'rugged'}"
"Majestic, ancient, green, cozy, calm hills are visible in the distance beyond a winding river.","{'majestic', 'ancient', 'green', 'cozy', 'calm'}"
"An old wooden bridge stands over a small, cozy, busy and tranquil stream.","{'small', 'cozy', 'busy'}"
"Ancient, blue, vivid, bright architecture marks the skyline of a bustling city.","{'ancient', 'blue', 'vivid', 'bright'}"
"Rustic, majestic, wild, delicate, shiny hills are visible in the distance beyond a winding river.","{'rustic', 'majestic', 'wild', 'delicate', 'shiny'}"
"A painter captures a shiny, rustic, busy scene of nature on canvas.","{'shiny', 'rustic', 'busy'}"
"Beautiful, vivid architecture marks the skyline of a bustling city.","{'beautiful', 'vivid'}"
"A painter captures a snowy, dynamic, serene scene of nature on canvas.","{'snowy', 'dynamic', 'serene'}"
"Grand, rustic, majestic birds flutter above a serene and glistening pond.","{'grand', 'rustic', 'majestic'}"
"Red, lush, vibrant, dynamic, bright architecture marks the skyline of a bustling city.","{'red', 'lush', 'vibrant', 'dynamic', 'bright'}"
"Majestic, soft, artistic, grand, sleek architecture marks the skyline of a bustling city.","{'majestic', 'soft', 'artistic', 'grand', 'sleek'}"
"A painter captures a bright, natural, shiny scene of nature on canvas.","{'bright', 'natural', 'shiny'}"
"Green, wild, soft, dynamic, shiny birds flutter above a serene and glistening pond.","{'green', 'wild', 'soft', 'dynamic', 'shiny'}"
"Rustic, black landscapes stretch endlessly under a golden sun.","{'rustic', 'black'}"
"Mountain, dynamic, busy, grand, shiny trees sway gently in the cool autumn breeze.","{'mountain', 'dynamic', 'busy', 'grand', 'shiny'}"
