Caption,Visual Attributes
A red bicycle leans against a white picket fence.,"{'red', 'white'}"
Fluffy white clouds float in a bright blue sky.,"{'fluffy', 'white', 'bright', 'blue'}"
A sleek black cat perches on a windowsill.,"{'sleek', 'black'}"
Golden sunflowers sway in a green field.,"{'golden', 'green'}"
A rusty old truck sits in an overgrown field.,"{'rusty', 'old', 'overgrown'}"
Colorful hot air balloons rise over a misty valley.,"{'colorful', 'misty'}"
A shiny red apple rests on a wooden table.,"{'shiny', 'red', 'wooden'}"
Tall pine trees cast long shadows in the snow.,"{'tall', 'long'}"
A yellow school bus drives down a winding road.,"{'yellow', 'winding'}"
Vibrant fall leaves carpet a forest path.,"{'vibrant', 'fall'}"
A spotted ladybug crawls on a dewy green leaf.,"{'spotted', 'dewy', 'green'}"
Jagged lightning illuminates a stormy sky.,"{'jagged', 'stormy'}"
A cracked leather baseball glove lies in the grass.,"{'cracked', 'leather'}"
Colorful kites soar in a breezy summer sky.,"{'colorful', 'breezy', 'summer'}"
A weathered lighthouse stands on rocky cliffs.,"{'weathered', 'rocky'}"
Fluffy white dandelion seeds float on the breeze.,"{'fluffy', 'white'}"
A rustic wooden bridge spans a babbling brook.,"{'rustic', 'wooden', 'babbling'}"
Towering skyscrapers reflect the setting sun.,"{'towering', 'setting'}"
A worn leather suitcase sits on a train platform.,"{'worn', 'leather'}"
Delicate cherry blossoms frame a serene pond.,"{'delicate', 'serene'}"
A winding dirt road cuts through rolling hills.,"{'winding', 'dirt', 'rolling'}"
Wispy cirrus clouds streak across a pale sky.,"{'wispy', 'pale'}"
A mossy stone wall borders a lush garden.,"{'mossy', 'stone', 'lush'}"
Vibrant graffiti covers an abandoned warehouse wall.,"{'vibrant', 'abandoned'}"
A rusted chain-link fence surrounds an empty lot.,"{'rusted', 'empty'}"
Colorful autumn leaves swirl in a gentle breeze.,"{'colorful', 'autumn', 'gentle'}"
A weathered wooden dock extends into a misty lake.,"{'weathered', 'wooden', 'misty'}"
Tall sunflowers reach towards a cloudless sky.,"{'tall', 'cloudless'}"
A winding cobblestone street leads to an old church.,"{'winding', 'cobblestone', 'old'}"
Fluffy white sheep graze in a rolling green meadow.,"{'fluffy', 'white', 'rolling', 'green'}"
A rusty old tractor sits in a golden wheat field.,"{'rusty', 'old', 'golden'}"
Jagged mountain peaks pierce through wispy clouds.,"{'jagged', 'wispy'}"
A crumbling stone archway frames a garden path.,"{'crumbling', 'stone'}"
Colorful fishing boats bob in a calm harbor.,"{'colorful', 'calm'}"
A snow-capped mountain reflects in a crystal-clear lake.,"{'snow-capped', 'crystal-clear'}"
Gnarled old oak trees line a country lane.,"{'gnarled', 'old', 'country'}"
A rustic wooden sign points to a hidden trail.,"{'rustic', 'wooden', 'hidden'}"
Delicate frost patterns cover a glass windowpane.,"{'delicate', 'frost'}"
A winding river cuts through a lush green valley.,"{'winding', 'lush', 'green'}"
Towering redwood trees reach for the sky.,{'towering'}
A weathered barn stands in a misty field.,"{'weathered', 'misty'}"
Colorful wildflowers carpet an alpine meadow.,"{'colorful', 'alpine'}"
A meandering stream reflects the blue sky above.,"{'meandering', 'blue'}"
Craggy cliffs tower over a sandy beach.,"{'craggy', 'sandy'}"
A worn dirt path leads through dense forest.,"{'worn', 'dirt', 'dense'}"
Golden sand dunes stretch to the horizon.,{'golden'}
Wispy fog clings to a mountainside.,{'wispy'}
A rustic wooden fence borders a country road.,"{'rustic', 'wooden', 'country'}"
Vibrant fall foliage reflects in a still pond.,"{'vibrant', 'fall', 'still'}"
A winding staircase spirals up an ancient tower.,"{'winding', 'ancient'}"
Colorful lanterns hang from trees in a night garden.,"{'colorful', 'night'}"
A rusty old bicycle leans against a crumbling wall.,"{'rusty', 'old', 'crumbling'}"
Tall reeds sway in the breeze by a quiet lake.,"{'tall', 'quiet'}"
A weathered signpost stands at a crossroads.,{'weathered'}
Fluffy cumulus clouds dot a bright summer sky.,"{'fluffy', 'bright', 'summer'}"
A mossy log bridges a bubbling stream.,"{'mossy', 'bubbling'}"
Vibrant tulips bloom in a manicured garden.,"{'vibrant', 'manicured'}"
A winding trail disappears into a misty forest.,"{'winding', 'misty'}"
Jagged icicles hang from a snow-covered roof.,"{'jagged', 'snow-covered'}"
A rustic wooden rowboat floats on a placid pond.,"{'rustic', 'wooden', 'placid'}"
Colorful umbrellas dot a crowded beach.,"{'colorful', 'crowded'}"
A weathered lighthouse stands sentinel on a rocky shore.,"{'weathered', 'rocky'}"
