image_id,original_caption,BLIP_caption,GIT_caption,VIT-GPT2_caption,BLIP-Large_caption,voted_adjectives
image_0,"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",a painting of a sunset with a tree and flowers,the red flowers - digital art by [ unused0 ],a painting of a river with flowers and trees ,a painting of a sunset with a path through a field of flowers,[]
image_1,"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",a house on the cliff overlooking the ocean,a wall on the side of a building,a large white boat is docked near a body of water ,a view of a cliff with a house on top of it,[]
image_2,"A painter captures a serene, snowy scene of nature on canvas.",a painting of a snowy river in the woods,a painting of a snowy forest,a river with trees and snow covered ground ,painting of a snowy river with trees and rocks in the foreground,['snowy']
image_3,"A small, ancient, red sunset paints the horizon with vibrant colors.",a painting of a sunset over the ocean,painting of the sun setting,a beach scene with a couple of boats ,painting of a sunset over a body of water with a boat in the water,[]
image_4,"A painter captures a natural, red, grand, majestic, tall scene of nature on canvas.",a painting of a river in the woods,a painting of a forest,a painting of a river with trees and a river ,a painting of a river with red trees and rocks in the foreground,[]
image_5,"An old wooden bridge stands over a natural, artistic and tranquil stream.",a bridge over a stream in the woods,the bridge is made of wood,a river with a waterfall and a bench ,arafed bridge over a stream in a lush green forest,[]
image_6,"A cluster of colorful, dynamic houses sits atop a steep cliff by the ocean.",colorful houses on the hillside,the houses are colorful,a house with a bunch of colorful houses on it ,brightly colored houses on a hillside overlooking the ocean,['colorful']
image_7,"Busy, dynamic, mountain wildflowers bloom in a meadow under a bright sky.",wildflowers and mountain peaks,a field of flowers,a large field with a bunch of flowers in it ,a close up of a field of flowers with a mountain in the background,[]
image_8,"Modern, colorful architecture marks the skyline of a bustling city.",a citysca with many colorful buildings,digital art selected for the #,a colorful assortment of colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful,a painting of a city with many tall buildings and a sky background,"['many', 'colorful']"
image_9,"A green, beautiful sunset paints the horizon with vibrant colors.",a painting of a sunset over a green field,sunset over the green field,a sunset shot of a field with a large field of grass ,a painting of a sunset over a green field with trees,['green']
image_10,"Shiny, black, serene, busy, ancient architecture marks the skyline of a bustling city.",a river running through a city,a scene of a town,a city with a river and a large building ,there is a canal in the middle of a city with buildings,[]
image_11,"Tall, small, vivid hills are visible in the distance beyond a winding river.",a river surrounded by trees in the mountains,a river winding through a valley,a river with a mountain range and mountains ,a view of a river running through a lush green valley,[]
image_12,"Cozy, wild, serene, vibrant, soft birds flutter above a serene and glistening pond.",a painting of birds flying over a pond,the sky is the limit,a painting of a group of colorful birds on a colorful background ,a painting of birds flying over a pond with water lils,['colorful']
image_13,"Calm, grand, beautiful wildflowers bloom in a meadow under a bright sky.",a field of wildflowers with the sun setting in the background,flowers in the field by person on 500px,a flower arrangement in a flowerbed in a field ,a field full of flowers with the sun setting in the background,[]
image_14,"Playful, green, majestic, bright, dynamic architecture marks the skyline of a bustling city.",a green city with skyscrapers and trees,digital art selected for the #,a cityscape of a city with many colorful flowers ,a green city with skyscrapers and trees in the foreground,['green']
image_15,"Sleek, green, soft, busy trees sway gently in the cool autumn breeze.",a forest with tall trees and green leaves,the trees look up,a tree filled with lots of green leaves ,a view of a forest with tall trees and green leaves,"['tall', 'green']"
image_16,"Red, delicate landscapes stretch endlessly under a golden sun.",a painting of a desert landscape with a sunset,the red hills of the desert,a sunset scene with a red blanket and a red blanket ,a painting of a red desert landscape with a sun setting,['red']
image_17,"Rugged, soft wildflowers bloom in a meadow under a bright sky.",wildflowers and wildflowers in the wildflower meadow,a field of wild flowers,a flower garden with many different types of flowers ,there are many different flowers in the field with a mountain in the background,"['many', 'different']"
image_18,"Busy, ancient, artistic, playful landscapes stretch endlessly under a golden sun.",a painting of a chinese village with a river and mountains in the background,a painting of a city,a cityscape of a city with a bunch of umbrellas ,a painting of a mountain village with a river running through it,[]
image_19,"A painter captures a rustic, historic, serene, blue, shiny scene of nature on canvas.",a painting of a cabin by the water,a painting of a cabin,a lake with a boat and a forest ,a painting of a cabin on a lake with mountains in the background,[]
image_20,"Beautiful, tall, calm, red trees sway gently in the cool autumn breeze.",a painting of a path through a forest with red leaves,the red leaves of the tree,a tree with a bunch of trees in it ,a painting of a path through a forest with red trees,['red']
image_21,"Natural, red, rugged landscapes stretch endlessly under a golden sun.",a red desert with a river running through it,a river in the mountains,a blurry picture of a mountain with a person riding a bike ,a view of a valley with a river running through it,[]
image_22,"An old wooden bridge stands over a spotted, rustic, snowy and tranquil stream.",a bridge over a stream in the mountains,a bridge over a stream,a waterfall with a waterfall in it ,snowy stream with a wooden bridge over it in a forest,[]
image_23,"A cluster of rugged, white, green houses sits atop a steep cliff by the ocean.",a small white house on the edge of a cliff,white houses on a cliff,a large white truck parked on a grassy area ,a group of white cabins on a cliff overlooking the ocean,['white']
image_24,"Golden, cozy, white, mountain hills are visible in the distance beyond a winding river.",a painting of a mountain river with a mountain range in the background,a painting of a river,a river with a bunch of trees and mountains ,painting of a river running through a field with mountains in the background,[]
image_25,"Sleek, ancient, rugged architecture marks the skyline of a bustling city.",the city of babylon,the city is fantasy,a city with a lot of buildings and a sky background ,a view of a city with a tall building and a clock tower,[]
image_26,"Lush, grand, shiny trees sway gently in the cool autumn breeze.",a path through a forest with orange leaves,autumn in the park - hdr image,a forest filled with trees and trees with a sky background ,a view of a path through a forest with lots of trees,[]
image_27,"Mountain, colorful trees sway gently in the cool autumn breeze.",a painting of a mountain landscape with colorful trees and mountains,the mountain range,a painting of a mountain with a mountain ,a painting of a mountain scene with a stream and trees,[]
image_28,"Modern, golden wildflowers bloom in a meadow under a bright sky.",a field of wildflowers and a tree in the background,a field of yellow flowers,a field with a bunch of flowers in it ,a field full of yellow flowers under a blue sky with clouds,['yellow']
image_29,"A cluster of busy, sleek, soft, historic houses sits atop a steep cliff by the ocean.",a painting of a house on a cliff overlooking the ocean,the painting is a painting,a house with a boat on the water ,illustration of a coastal town on a cliff overlooking the ocean,[]
image_30,"A cluster of soft, playful, cozy houses sits atop a steep cliff by the ocean.",colorful houses on the coast in california,the houses are colorful,a beach with a bunch of boats on it ,arafed houses on a cliff overlooking the ocean and a cliff,['colorful']
